ANNO,CDPELL,CDSOTSEZ,CDGRUPAR,DATAACC,ACCONTO,NRRICEV,TIMESTP
2008,71,17,000120,20080811,   525.00,798      ,20080712092933776
2008,71,17,000163,20081009,   150.00,1333     ,20081009135427453
2008,71,17,000170,20080713,   210.00,870      ,20080716142705535
2008,71,17,000191,20080710,   210.00,805      ,20080712093824727
2008,71,17,000237,20080623,   500.00,694      ,20080628185959068
2008,71,17,000241,20080506,   105.00,478      ,20080506185508495
2008,71,17,000258,20080417,   500.00,421      ,20080417232352445
2008,71,17,000258,20080605,   600.00,616      ,20080606214919703
2008,71,17,000258,20080701,   500.00,737      ,20080702100523393
2008,71,17,000258,20080710,   210.00,800      ,20080906095156134
2008,71,17,000261,20080710,   210.00,801      ,20080712091618375
2008,71,17,000271,20080710,   210.00,800      ,20080712093252376
2008,71,17,000271,20080715,   525.00,875      ,20080906100154613
2008,71,17,000271,20080716,   525.00,859      ,20080716140735889
2008,71,17,000280,20080610,   110.00,624      ,20080610203209106
2008,71,17,000280,20080716,   315.00,887      ,20080716143411872
2008,71,17,000290,20080716,   210.00,861      ,20080716140837057
2008,71,17,000292,20080603,   100.00,587      ,20080901100932137
2008,71,17,000292,20080716,   210.00,865      ,20080716141108770
2008,71,17,000301,20080710,   670.00,803      ,20080712093604771
2008,71,17,000314,20080716,   105.00,884      ,20080716143228827
2008,71,17,000341,20080710,   420.00,797      ,20080712092711739
2008,71,17,000341,20080711,   420.00,799      ,20080712093201281
2008,71,17,000534,20080709,  1260.00,806      ,20080714122745469
2008,71,17,000534,20080710,   210.00,807      ,20080712093953776
2008,71,17,000534,20081108,    50.00,1407     ,20081111175039450
2008,71,19,000019,20080710,   105.00,800      ,20080712093506739
2008,72,17,000237,20080714,   105.00,853      ,20080714120340415
2008,73,01,000001,20080717,   105.00,911      ,20080725084427512
2008,73,01,000001,20080823,   335.00,1097     ,20080827210748336
2008,73,01,000001,20080827,   335.00,1097     ,20081103113804167
2008,73,04,000198,20080615,   850.00,663      ,20080616082456705
