ANNO,CDPELL,CDSOCMZ,FLSETT,CDCTRA,QTCTRA,CDCPER,QTCPER,CDCRID,QTCRID,CDCALT,QTCALT,CDSERV,TMESTP
2007,05,000001121,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070523155558609
2007,05,000001122,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523154515562
2007,05,000001124,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20080111100657507
2007,05,000001171,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20080109175907917
2007,05,000001192,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070821154904640
2007,05,000001193,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070619115844109
2007,05,000001195,E,0,0.00,2,310.00,0,0.00,0,0.00,01,20070821093914359
2007,05,000001209,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163925703
2007,05,000001223,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070703085141812
2007,05,000001225,1,A,12.50,4,105.00,0,0.00,0,0.00,02,20070608180450462
2007,05,000001226,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523170926812
2007,05,000001247,2,R,12.50,4,105.00,0,0.00,0,0.00,02,20070529155907968
2007,05,000001251,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070703090754406
2007,05,000001261,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523161434000
2007,05,000001268,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523160405515
2007,05,000001278,2,R,12.50,1,105.00,0,0.00,0,0.00,02,20070703084437203
2007,05,000001300,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523171251890
2007,05,000001302,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523171508453
2007,05,000001306,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523160546140
2007,05,000001312,2,R,12.50,4,105.00,0,0.00,0,0.00,02,20080109101904068
2007,05,000001314,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523171655000
2007,05,000001358,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070821093853953
2007,05,000001359,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523162949171
2007,05,000001370,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163056968
2007,05,000001382,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523160715906
2007,05,000001386,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523160909906
2007,05,000001397,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523162652875
2007,05,000001400,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523164225437
2007,05,000001404,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524184911109
2007,05,000001406,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523164007031
2007,05,000001408,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070605174320843
2007,05,000001415,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523164141718
2007,05,000001424,E,A,12.50,2,310.00,0,0.00,0,0.00,01,20070821092925500
2007,05,000001429,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163402578
2007,05,000001449,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163713890
2007,05,000001465,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070529155954234
2007,05,000001469,1,A,12.50,4,105.00,0,0.00,0,0.00,02,20070820171008187
2007,05,000001498,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070605190047953
2007,05,000001525,E,1,25.00,2,645.00,0,0.00,0,0.00,01,20080111100336834
2007,05,000001526,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070523161820765
2007,05,000001527,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523161516359
2007,05,000001528,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523161646593
2007,05,000001560,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163459625
2007,05,000001585,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070622194809016
2007,05,000001630,1,A,12.50,1,105.00,0,0.00,0,0.00,02,20070523162335328
2007,05,000001633,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523165443718
2007,05,000001643,1,0,0.00,4,105.00,0,0.00,0,0.00,02,20070821154924453
2007,05,000001644,E,0,0.00,3,210.00,0,210.00,0,0.00,02,20070821093606171
2007,05,000001647,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163847156
2007,05,000001662,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523170443937
2007,05,000001694,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523160811484
2007,05,000001879,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070607173439453
2007,05,000001969,2,R,12.50,4,105.00,0,0.00,0,0.00,02,20070821155303546
2007,05,000001977,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523160448546
2007,05,000001979,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070712164407765
2007,05,000001994,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20080109175923314
2007,05,000001996,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523154916734
2007,05,000002062,1,0,0.00,4,105.00,0,0.00,0,0.00,02,20070612155739796
2007,05,000002108,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523160314796
2007,05,000002220,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070523171203937
2007,05,000002229,1,A,12.50,4,105.00,0,0.00,0,0.00,02,20070821093655843
2007,05,000002231,1,A,12.50,4,105.00,0,0.00,0,0.00,02,20070608185222904
2007,05,000002236,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070523163804015
2007,05,000002245,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070523170817640
2007,05,000002271,2,R,12.50,1,105.00,0,0.00,0,0.00,02,20070820171511468
2007,05,000002313,E,0,0.00,2,310.00,0,0.00,0,0.00,01,20070529160806375
2007,05,000002377,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070523171949875
2007,05,000002661,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070829113509355
2007,05,000002662,E,0,0.00,5,310.00,0,0.00,0,0.00,03,20070821093834015
2007,05,000002671,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070821092635171
2007,05,000002790,E,0,0.00,3,210.00,0,210.00,0,0.00,02,20070821103329609
2007,05,000002798,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070620114535250
2007,05,000002799,E,0,0.00,6,335.00,0,0.00,0,0.00,01,20070821105900109
2007,05,000002800,E,1,25.00,8,295.00,0,0.00,0,0.00,02,20070620115939718
2007,05,000002801,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070620120242765
2007,05,000002806,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070622193844094
2007,05,000002819,E,1,25.00,5,310.00,0,350.00,Q,15.00,03,20080109175759196
2007,05,000002820,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070702170553453
2007,06,000001066,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070612104118031
2007,06,000001082,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070612104440312
2007,06,000001247,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070612100251500
2007,06,000001705,E,0,0.00,0,0.00,4,0.00,0,0.00,02,20071001085830296
2007,06,000001825,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070612094653343
2007,06,000001877,E,0,0.00,3,0.00,0,0.00,0,0.00,02,20070612100149781
2007,07,000001021,E,1,25.00,5,310.00,0,0.00,0,0.00,01,20070823103110859
2007,07,000001028,1,0,0.00,1,0.00,0,0.00,0,0.00,02,20070627205304265
2007,07,000001032,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070703183708562
2007,07,000001048,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070703183533640
2007,07,000001049,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070822170748281
2007,07,000001050,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070810085301140
2007,07,000001051,1,0,0.00,1,0.00,0,0.00,0,0.00,02,20070627205420890
2007,07,000001126,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524115114640
2007,07,000001127,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070524110400640
2007,07,000001128,E,1,25.00,6,335.00,0,0.00,0,0.00,01,20070809162935750
2007,07,000001133,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20071116152335315
2007,07,000001140,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20071116151632857
2007,07,000001159,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070823103438859
2007,07,000001160,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070823103510921
2007,07,000001176,2,R,12.50,1,105.00,1,85.00,0,0.00,02,20080111103729285
2007,07,000001184,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822180409906
2007,07,000001220,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524102030937
2007,07,000001221,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524101935953
2007,07,000001222,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524101314281
2007,07,000001229,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524101813140
2007,07,000001232,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070823102947500
2007,07,000001235,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20080109173305541
2007,07,000001258,E,1,25.00,5,310.00,0,0.00,0,0.00,03,20070901102234843
2007,07,000001264,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20070524111937484
2007,07,000001266,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070809162949343
2007,07,000001278,2,0,0.00,1,105.00,0,0.00,0,0.00,02,20070703183339625
2007,07,000001280,1,A,12.50,1,105.00,0,0.00,0,0.00,02,20070609174306515
2007,07,000001285,E,0,0.00,3,210.00,0,0.00,0,0.00,02,20080613162857924
2007,07,000001287,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524101456250
2007,07,000001291,E,1,25.00,3,210.00,0,0.00,0,0.00,02,20070524101856109
2007,07,000001313,1,0,0.00,1,0.00,0,0.00,0,0.00,02,20070627205220828
2007,07,000001318,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175410875
2007,07,000001319,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175453031
2007,07,000001320,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175508875
2007,07,000001322,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175200000
2007,07,000001324,E,1,25.00,2,310.00,0,0.00,0,0.00,01,20070822175137609
