ANNO,CDPELL,CDBUS,FLAGAR,POSTO,CDSOCMZ,TMESTP
2007,07,1,A,010,000001507,20070706192237640
2007,07,1,A,011,000001984,20070706192245734
2007,07,1,A,012,000002073,20070706192254453
2007,07,1,A,013,000001717,20070706192301968
2007,07,1,A,014,000001509,20070706192314796
2007,07,1,A,017,000002224,20070706192356015
2007,07,1,A,018,000001723,20070706192406796
2007,07,1,A,019,000001160,20070706192415015
2007,07,1,A,020,000001222,20070706192425093
2007,07,1,A,021,000001229,20070706192433515
2007,07,1,A,024,000002072,20070706192503671
2007,07,1,A,027,000001986,20070706192617265
2007,07,1,A,028,000002276,20070706192626953
2007,07,1,A,029,000001372,20070706192639734
2007,07,1,A,030,000001708,20070706192702843
2007,07,1,A,031,000001851,20070706192712781
2007,07,1,A,032,000001140,20070706192724109
2007,07,1,A,034,000001451,20070706192801015
2007,07,1,A,035,000001221,20070706192812187
2007,07,1,A,036,000001453,20070706192821984
2007,07,1,A,038,000001349,20070706192850375
2007,07,1,A,040,000001220,20070706193534734
2007,07,1,A,041,000001336,20070706194630031
2007,07,1,R,001,000002125,20070706192133171
2007,07,1,R,002,000001548,20070706192140750
2007,07,1,R,003,000001419,20070706192147125
2007,07,1,R,004,000001367,20070706192151671
2007,07,1,R,007,000001547,20070706192210515
2007,07,1,R,008,000001127,20070706192221843
2007,07,1,R,009,000001507,20070706192237656
2007,07,1,R,010,000001984,20070706192245734
2007,07,1,R,011,000002073,20070706192254453
2007,07,1,R,012,000001717,20070706192301968
2007,07,1,R,013,000001509,20070706192314796
2007,07,1,R,016,000002224,20070706192356015
2007,07,1,R,017,000001160,20070706192415015
2007,07,1,R,018,000001222,20070706192425093
2007,07,1,R,019,000001229,20070706192433515
2007,07,1,R,022,000002072,20070706192503671
2007,07,1,R,024,000001986,20070706192617265
2007,07,1,R,025,000002276,20070706192626953
2007,07,1,R,026,000001372,20070706192639734
2007,07,1,R,027,000001708,20070706192702843
2007,07,1,R,028,000001140,20070706192724109
2007,07,1,R,030,000001451,20070706192801015
2007,07,1,R,031,000001221,20070706192812187
2007,07,1,R,032,000001453,20070706192821984
2007,07,1,R,033,000001349,20070706192850375
2007,07,1,R,035,000001220,20070706193534734
2007,07,1,R,036,000001336,20070706194630031
2007,07,2,A,001,000001549,20070706193553828
2007,07,2,A,002,000002283,20070706193743437
2007,07,2,A,003,000001021,20070706193747890
2007,07,2,A,004,000001541,20070706193753656
2007,07,2,A,005,000001365,20070706193758468
2007,07,2,A,006,000001760,20070706193811687
2007,07,2,A,007,000001128,20070706193824703
2007,07,2,A,009,000001966,20070706193840953
2007,07,2,A,010,000002067,20070706193849125
2007,07,2,A,011,000001343,20070706193855046
2007,07,2,A,013,000001524,20070706193914968
2007,07,2,A,014,000002066,20070706193923953
2007,07,2,A,015,000002312,20070706193931671
2007,07,2,A,016,000001159,20070706193939500
2007,07,2,A,017,000001258,20070706193945734
2007,07,2,A,018,000001454,20070706193954765
2007,07,2,A,019,000001291,20070706194001250
2007,07,2,A,021,000002297,20070706194021218
2007,07,2,A,022,000001287,20070706194032187
2007,07,2,A,023,000001381,20070706194053578
2007,07,2,A,024,000001266,20070706194100796
2007,07,2,A,028,000001990,20070706194208906
2007,07,2,A,029,000001982,20070706194217156
2007,07,2,A,030,000001447,20070706194227140
2007,07,2,A,031,000001740,20070706194239093
2007,07,2,A,032,000001510,20070706194303546
2007,07,2,A,033,000001126,20070706194311312
2007,07,2,A,034,000002242,20070706195929890
2007,07,2,R,001,000001549,20070706193553828
2007,07,2,R,002,000002283,20070706193743437
2007,07,2,R,003,000001021,20070706193747890
2007,07,2,R,004,000001541,20070706193753656
2007,07,2,R,005,000001365,20070706193758468
2007,07,2,R,006,000001760,20070706193811687
2007,07,2,R,007,000001128,20070706193824703
2007,07,2,R,009,000001966,20070706193840953
2007,07,2,R,010,000002067,20070706193849125
2007,07,2,R,011,000001343,20070706193855046
2007,07,2,R,013,000001524,20070706193914968
2007,07,2,R,014,000002066,20070706193923953
2007,07,2,R,015,000002312,20070706193931671
2007,07,2,R,016,000001159,20070706193939500
2007,07,2,R,017,000001258,20070706193945734
2007,07,2,R,018,000001454,20070706193954765
2007,07,2,R,019,000001291,20070706194001250
2007,07,2,R,021,000002297,20070706194021218
2007,07,2,R,022,000001287,20070706194032187
2007,07,2,R,023,000001381,20070706194053593
2007,07,2,R,024,000001266,20070706194100796
2007,07,2,R,027,000001990,20070706194208921
2007,07,2,R,028,000001982,20070706194217156
2007,07,2,R,029,000001447,20070706194227140
2007,07,2,R,030,000001740,20070706194239093
2007,07,2,R,031,000001510,20070706194303546
2007,07,2,R,032,000001126,20070706194311312
2007,07,4,A,001,000001713,20070706195602421
2007,07,4,A,002,000001326,20070706195607125
2007,07,4,A,003,000001663,20070706195613421
2007,07,4,A,004,000001324,20070706195617390
2007,07,4,A,005,000001322,20070706195623046
2007,07,4,A,006,000001337,20070706195629531
2007,07,4,A,007,000001698,20070706195635031
2007,07,4,A,009,000001330,20070706195645796
2007,07,4,A,010,000001335,20070706195656859
2007,07,4,A,011,000001184,20070706195701187
2007,07,4,A,012,000001716,20070706195705781
2007,07,4,A,014,000001714,20070706195718015
2007,07,4,A,015,000001318,20070706195723421
2007,07,4,A,016,000001755,20070706195730187
2007,07,4,A,017,000001736,20070706195736656
2007,07,4,A,020,000001319,20070706195755187
2007,07,4,A,021,000001320,20070706195801687
2007,07,4,R,001,000001713,20070706195602421
2007,07,4,R,002,000001326,20070706195607125
2007,07,4,R,003,000001663,20070706195613421
2007,07,4,R,004,000001324,20070706195617390
2007,07,4,R,005,000001322,20070706195623046
2007,07,4,R,006,000001337,20070706195629531
2007,07,4,R,007,000001698,20070706195635046
2007,07,4,R,009,000001330,20070706195645796
2007,07,4,R,010,000001335,20070706195656859
2007,07,4,R,011,000001184,20070706195701187
2007,07,4,R,013,000001714,20070706195718015
2007,07,4,R,014,000001318,20070706195723421
2007,07,4,R,015,000001755,20070706195730187
2007,07,4,R,016,000001319,20070706195755187
2007,07,4,R,017,000001320,20070706195801687
2007,08,1,A,001,000001500,20070719171226859
2007,08,1,A,003,000001245,20070719171406765
2007,08,1,A,005,000002309,20070719171440078
2007,08,1,A,008,000001146,20070719173452171
2007,08,1,A,009,000002763,20070719173458171
2007,08,1,A,010,000001267,20070719173509187
2007,08,1,A,012,000001093,20070719173923593
2007,08,1,A,013,000002675,20070719173937031
2007,08,1,A,015,000001434,20070719174158140
2007,08,1,A,016,000001095,20070719174210359
2007,08,1,A,017,000001357,20070719174234796
2007,08,1,A,019,000001143,20070719174306437
2007,08,1,A,020,000001543,20070719174411671
2007,08,1,A,021,000001416,20070719174427703
2007,08,1,A,023,000002678,20070719174442531
